"loglik","iterations","mu","sigma","lambda","mu2","sigma2","lambda2"
"06_3928A",-69027.3178021018,51,60.6259073363993,9.66287776150338,0.857637672568564,29.2413660215801,7.59622499542595,0.142362327431436
"P17777",-70309.0673080795,35,69.7075473940759,9.51595459286768,0.833967992012365,33.8611619344985,9.96493298586491,0.166032007987635
"FL2009P4",-51413.9674064911,61,17.8347395503545,4.183955282775,0.928714978340982,7.30424539642005,1.58222273538015,0.0712850216590176
"FP.GCC",-65030.9122107363,266,41.1445195255326,5.17032848327362,0.407306723578475,39.1868019040361,13.3262479023823,0.592693276421525
"H1306_1",-50181.3694718585,37,22.6848777939666,2.82841489811618,0.821651710650451,10.9985856806989,3.3925051826637,0.178348289349549
"H1306_2",-66209.2109874414,36,58.2098037528421,7.22251232753259,0.825534116072373,28.5484527580586,8.4455389622979,0.174465883927627
"H1306_3",-56649.2537100328,86,25.3071160435636,4.64227714511466,0.820926127478313,11.7111678959769,3.69760132297945,0.179073872521687
"ND822Pi",-50546.1305197318,57,23.5386032275554,2.77810392062881,0.789119881637932,12.8002912353211,3.74597206552841,0.210880118362068
"US0400009",-56313.3579113142,108,20.218018402473,5.91168685808871,0.955217083450113,7.38436537839634,1.72567574477578,0.0447829165498874
"US100006",-50762.7223810588,32,23.3018159066199,2.81551723091359,0.797772824628077,11.5458226992718,3.32853865001106,0.202227175371923
"BL2009P4",-57266.0048981718,77,25.0268718629928,5.75762463674354,0.924413241075282,9.66632458335769,2.40998172701977,0.0755867589247179
"IN2009T1",-57229.6656587079,41,24.8246708271348,5.41924633326627,0.904174519950844,9.29434147739608,3.27896223750678,0.0958254800491555
"Pi1845A",-31114.5597308255,51,5.6545687986911,0.899237637273424,0.846159577295773,10.1009273132233,3.78192528473571,0.153840422704227
"Pi1845B",-5082.08431592251,131,0.789202639690409,0.246276693428061,0.876347024879506,1.49950989134648,0.486544006134303,0.123652975120494
"Pi1876",-12803.6689118749,454,1.32134138150778,0.400576304971532,0.884136979513197,2.37916380267976,0.602888350015516,0.115863020486803
"Pi1882",-1095.72284592069,852,0.621216460758748,0.210950310556807,0.894691778447658,1.13644845354234,0.279699207308498,0.105308221552342
"Pi1889",-47234.2556752285,118,17.6626114269162,5.75472822460112,0.465659453618967,17.6904279603813,1.70617855824672,0.534340546381033
"RS2009P1",-60700.0857259148,76,31.0304704079183,6.34231246480438,0.871983297792182,13.244300692212,4.48177311333109,0.128016702207818
"EC3394",-36586.9963036551,487,6.47388474918319,1.41414724160915,0.76747931043916,9.57686789392305,2.54248167307744,0.232520689560841
"Kew122",-47688.5782426843,62,20.3013377985397,3.44929440338908,0.950282155968327,11.4713599060525,1.57588149516442,0.0497178440316726
"Kew123",-24456.6867312165,87,4.24097502153368,0.870828438486674,0.922660417131927,2.09756211226191,0.391880955269887,0.0773395828680729
"Kew126",-46578.0567524201,38,20.1321195289529,2.7047674988689,0.869058488983654,11.8188381813715,2.1051607542876,0.130941511016346
"P10650b",-39836.2899151612,120,8.81672874541222,1.9875529243974,0.88250399091784,3.70744563693725,1.10657353662215,0.11749600908216
"P13198",-49552.657065364,67,20.6464350559408,3.0007420798574,0.82843489910551,11.051636034665,2.75888419354314,0.17156510089449
"P13346",-44033.1465001589,45,13.8030378860731,2.06238277566233,0.798618219896411,6.88956443428504,1.95797722393482,0.201381780103589
"P13803",-49179.0225801132,39,20.2900960210256,2.54090723422186,0.764017544358595,10.4734998238742,2.7143496731598,0.235982455641405
"P3681",-35455.2446983356,136,8.2681434570622,0.862679491907968,0.534693307963633,8.04785604272937,2.90553679575032,0.465306692036366
"P3683",-50032.0438189118,45,24.9369441666408,2.74475502135314,0.814135547152542,13.3379688178041,3.60139430131414,0.185864452847458
"P3685",-45962.9672312971,47,12.6247503844747,2.98377893960536,0.921824748400386,4.82368824103373,1.33686088734761,0.0781752515996137
"P3873",-41616.0252847078,51,12.3538131655689,1.94399062468949,0.848774261253959,6.01212860478102,1.60702346398916,0.151225738746041
"P6515",-44188.8569271228,57,13.9425085512616,2.29176975995722,0.851245272129659,6.67723534746827,1.7659457828989,0.148754727870341
"P6570",-43426.7191388085,33,14.6779232929665,2.07857837449477,0.837208306629328,7.52777644080824,1.99683577566175,0.162791693370672
"P6629",-36114.2864485384,42,9.74219046622736,1.30960551270233,0.818847689906385,5.063265603044,1.30306650985592,0.181152310093615
"P6634",-41885.3571520264,55,13.685089242087,1.80091839970186,0.818424091084911,6.94941409544425,1.94580237974183,0.181575908915089
"P6635",-37526.4946629017,115,8.38987010369635,1.68025123870042,0.867216995972877,3.89741431257898,1.06599401636196,0.132783004027123
"P6636",-46634.7282974628,86,15.5284953757866,2.65292431037362,0.849705472573442,7.49754848655012,2.22837656153243,0.150294527426558
"P7036",-46336.3711962592,67,16.9445067804939,2.37212003018778,0.818761068945446,8.59158967825744,2.50036000909038,0.181238931054554
"P8140",-49424.5801175917,55,14.5297555623025,3.85841449497046,0.942761850711215,5.60867240195807,1.34637100372288,0.0572381492887847
"P8141",-56980.0399975636,232,26.2591523758929,5.09341828028397,0.835668588430732,13.4531133838062,3.49950932272757,0.164331411569268
"P8143",-49673.3903494791,140,17.2094885363418,3.207909273215,0.802477115455765,9.17347156776148,2.53747724691857,0.197522884544235
"P8144",-49429.4343410825,32,20.3538388555314,2.83769975879881,0.823151824479642,10.1035842017967,2.77879293468452,0.176848175520358
"P8844",-46421.4670015868,86,16.3766015508532,2.61498226840596,0.840977961209008,8.51469833909717,1.99929729222882,0.159022038790992
"PaX",-51843.6430640026,44,19.7440014924533,3.63976121611491,0.829229578051191,9.31824421708762,2.20645108565554,0.170770421948809
"PCO038",-43205.6375813042,49,16.7860215787143,1.80843776102618,0.7929185058682,9.36250642696342,2.30406681977213,0.2070814941318
"PCZ026",-44492.4136942353,61,18.7015637191106,1.94793671116328,0.797217359867899,10.5195829499593,2.59214035016046,0.202782640132101
"PCZ033",-46091.0193759174,67,13.0418506369927,3.02726036207149,0.90929002995802,5.75292547701317,1.22621460235149,0.0907099700419796
"PCZ050",-35920.6871461501,30,10.4953482554199,1.32325084454122,0.844874956941848,5.4060014602732,1.303505362019,0.155125043058152
"PCZ098",-45135.4304292458,52,18.8061967956346,1.93550176475706,0.768969639933859,10.8195692825414,2.70343831571315,0.23103036006614
"PHU006",-36735.6176106458,72,8.66718316035443,1.44291436939526,0.823487545225845,4.24658886601699,1.22569896986128,0.176512454774155
"PIC97207",-62563.3202641451,255,32.6785959487313,7.51108876225658,0.831677616047816,16.8557872374418,4.42926253960913,0.168322383952184
"PIC97605",-49834.5463759301,77,19.0348187797639,2.77547876215297,0.756996774135238,9.89130001109397,2.74236226421509,0.243003225864762
"PIC97630",-49266.7223908332,96,17.9031873865257,2.85307998000523,0.77260440873514,9.44077015134019,2.53197582041451,0.22739559126486
"PIC98372",-48417.3485191689,53,15.8738226762836,3.27984647731346,0.882545633913616,7.44103955688463,1.64767934502428,0.117454366086384
"00Ip5",-65194.3480684465,81,28.4398683755118,8.50024729200232,0.859525216918304,5.93075570490862,3.86658945102877,0.140474783081696
"00M",-67191.6952703737,89,31.7268363612094,9.90118831808197,0.878384401174091,7.3626065642495,4.33775674002541,0.121615598825909
"CBS.678.85",-68347.5225634782,99,31.9322650300906,11.0336575788681,0.89094374588247,7.02035072204843,4.08491945154064,0.10905625411753
"Ipom",-62005.6582857537,49,27.6087856934321,6.06965845829055,0.809693237648624,7.91793777610035,4.88678285547611,0.190306762351376
"Ipom.1",-71529.8770387726,117,41.206086621475,12.0503287894233,0.847480082943582,9.21005213160468,6.04641247462864,0.152519917056418
"P3001",-60249.3362061053,45,24.7981716817426,5.54170633083641,0.806729209714228,7.43248352126622,4.22102697674891,0.193270790285772
"PIC97136",-40518.915065034,75,10.704667315476,1.74542837148318,0.834027850530253,4.77459695171956,1.84263416524312,0.165972149469747
"PIC97146",-51602.0318120132,136,16.4922588717532,3.64371058658449,0.825586485085482,7.21491223701084,2.85744145935617,0.174413514914518
"PIC97335",-55969.735092139,808,16.9184864972077,5.92230949222213,0.967994439938391,4.72265097626217,1.57198386046081,0.0320055600616087
"PIC97442",-50920.2156347723,165,12.1049078202428,4.30651744128524,0.933353537192804,3.83713098416363,1.48014167818797,0.0666464628071964
"PIC97750",-51380.2428697982,48,23.4450963241037,3.0775235301559,0.832177652144987,10.9484300455854,4.06244703571192,0.167822347855014
"PIC97785",-56631.9197806513,168,20.1146361349858,5.56622654641104,0.911292515433848,6.67066518433467,2.4752314802705,0.0887074845661524
"PIC99114",-74890.4959483221,86,50.2959705084132,15.3289841555896,0.877225299780326,11.7223125833799,6.95174258422646,0.122774700219674
"PIC99167",-67640.0919656247,81,32.4515745974431,9.80234995527702,0.856691136457139,7.08171477970551,4.61056670208357,0.143308863542861
"Pipo5",-71915.3069725915,105,38.5977759848415,13.4714285394358,0.889034314539066,6.93757214106788,4.66287023095892,0.110965685460934
"Pmir5",-66604.3911794513,64,33.2521176302989,8.81869697707424,0.844122394456691,8.87445266945077,5.07092841313269,0.155877605543309
"CJ01A1",-86778.4084348295,47,30.6094077419036,24.3556800849914,0.909214277256075,132.020751533072,70.7970561802265,0.0907857227439253
"INRA.310",-87525.9988512439,56,33.1049798973323,25.9085720833164,0.91143642608446,132.964546162591,68.8798764482086,0.0885635739155403
"P10297",-84797.9897950468,50,27.4941564028708,21.8670131535021,0.907487915047175,114.177857582954,62.4228164288963,0.0925120849528252
"P1569",-96132.0918394265,55,51.1421807858157,40.9232496795911,0.898635987342279,206.891222242398,112.930717687351,0.101364012657721
"P1976",-76456.2427254753,49,17.1944074920328,13.7168765013752,0.910668596117945,72.738939700692,39.7149516603683,0.0893314038820554
"90128",-30152.1765265851,257,6.1311401465751,1.21115988484159,0.955202038333721,10.027094747936,1.01265524907813,0.0447979616662793
"F18",-27667.6935294441,152,2.1361111103345,1.24197043899165,0.813392070323985,2.85979511095227,0.436159721524676,0.186607929676015
"PIC99114.1",-38556.5922908065,100,7.51964147088522,1.69799474765596,0.82040994818015,3.14055385277192,1.29361886522046,0.17959005181985
"PIC99167.1",-12696.7674238271,206,1.26462427316467,0.459320958429876,0.920860419857636,0.299101629432461,0.151320826222699,0.0791395801423641
"PIC99189",-25928.2485518818,52,5.75006302847944,0.85593324311439,0.873560193597407,3.32761476799116,0.492314306699745,0.126439806402593
"t30.4",-35715.9401021397,177,9.88209776043018,1.39765033723092,0.791374175762785,6.07669616140194,0.97212010483433,0.208625824237215
"DDR7602",-54089.9849263708,79,20.213772771666,4.56881096971852,0.895465790738713,7.90602838124529,2.37262153004541,0.104534209261287
"LBUS",-52436.9449409322,110,18.8180471928554,3.95960450457204,0.865799920128199,8.09844316583673,2.58280782036927,0.134200079871801
"NL07434",-68102.5811149834,28,63.6521433851803,8.95975906319,0.86348063014946,32.1009286127541,8.13690817832641,0.13651936985054
"P10127",-46716.2099068296,47,18.0991398193375,2.34525162781354,0.823747408257499,8.72582655119212,2.78580032729662,0.176252591742501
"P10650",-46984.6432043102,123,12.3446793966642,3.30596721718096,0.933368024685461,4.6922984780473,1.28480349734066,0.0666319753145394
"P11633",-38308.9327743684,75,8.53867145342547,1.87482510949036,0.912497394157851,3.51927944666245,0.955706090666185,0.0875026058421485
"P12204",-43534.4154594105,174,9.70268567141795,2.7395623774543,0.94082585254343,3.45437785560093,1.0500941277244,0.0591741474565699
"P13527",-54848.142333776,68,24.7356345321196,4.71380530930932,0.904027194786112,11.1811971946821,3.02212268978932,0.0959728052138884
"P13626",-60358.0198024111,30,40.3900204045378,5.63792593062535,0.858586671212938,20.0992888525831,5.47315725442797,0.141413328787062
"P1362",-26132.1625574898,133,3.83036767216421,0.928406583555313,0.899873665124275,1.52157878679135,0.470255963234509,0.100126334875725
"P6096",-44135.1973164992,185,11.0075720612269,2.68758706502535,0.903429033720495,4.67563560298251,1.24906190158544,0.0965709662795046
"P7722",-53664.7219398699,99,14.7914304912413,4.59420509538698,0.892018700122771,3.6703830949386,2.05261644269563,0.107981299877229
"KM177497",NA,NA,NA,NA,NA,NA,NA,NA
"KM177500",-3161.76131648449,583,0.487850742837849,0.21241027359811,0.701782045340452,0.88212536395258,0.295590784271256,0.298217954659548
"KM177509",-19310.7241380083,128,2.3937859894234,0.654131791461643,0.921396098923195,0.863410003810044,0.273293801233343,0.0786039010768055
"KM177512",-8499.98983010892,234,1.14808097277646,0.374919042922922,0.956539877224822,0.378645536846855,0.0958860796383181,0.0434601227751782
"KM177513",-36747.8709415588,52,8.05487853377336,1.69751279573144,0.893822454182587,3.63159679239516,0.739710818506419,0.106177545817413
"KM177514",-14979.2612582793,119,1.92487261812998,0.504983709507854,0.914553391040246,0.755217302948487,0.227133707629115,0.0854466089597538
"KM177517",-20165.9864941602,76,3.03781267254132,0.621392398107294,0.876789413852945,1.35009681232314,0.363449666346809,0.123210586147055
"KM177548",-7306.56773138379,165,1.10776863337124,0.345096244194522,0.942419842983296,0.413701467243728,0.110258469527791,0.0575801570167044
