"X06_3928A_cov.sum","P17777_cov.sum"
"PITG_00002",36.812989608824,58.5825304256124
"PITG_00003",16.0661756031139,25.9389119596463
"PITG_00004",34.2684108270162,29.1164714857729
"PITG_00005",41.5931432227316,29.680073866542
"PITG_00006",70.7803893941298,74.0088791762172
"PITG_00009",46.5962147180141,62.7363476129394
"PITG_00010",99.0420633504772,90.3110742074715
"PITG_00011",53.7657188010127,58.0711455706979
"PITG_00012",54.5317645665985,65.7135256924352
"PITG_00013",46.6365545380183,65.2905281811709
"PITG_00014",60.0849548447857,74.2862470800557
"PITG_00015",55.3123629145553,69.8167100561697
"PITG_00016",48.2045451249699,65.5876526429043
"PITG_00019",59.2787704085755,76.6175242137927
"PITG_00020",54.9392135328557,68.1287060387284
"PITG_00021",60.2469483412035,68.9019933888511
"PITG_00022",58.7397020406514,72.175405725757
"PITG_00023",49.3332638019637,59.921986365156
"PITG_00024",56.1547919875339,69.5847958273927
"PITG_00025",64.7124152046895,79.723004593038
"PITG_00026",59.5030103021718,69.353345660114
"PITG_00027",53.8804389391784,69.9711219492563
"PITG_00028",60.6329041766503,71.5899953007974
"PITG_00029",53.0271371819736,66.2402343814148
"PITG_00030",57.9607151093398,79.0856269398462
"PITG_00031",57.4188105529728,70.447952114053
"PITG_00032",55.5361256568908,67.5124872198195
"PITG_00033",52.644665428238,76.030647483388
"PITG_00034",54.200778685381,64.0615937938303
"PITG_00035",61.6200957326657,84.6800917752248
"PITG_00036",64.1156644510314,74.4414496491905
"PITG_00037",55.3478065408026,70.4522449791919
"PITG_00038",54.1839324512258,72.995454777261
"PITG_00039",55.5358863468398,74.2261520662961
"PITG_00040",37.906297003826,46.6119656653663
"PITG_00041",0.732258734378075,0.353645558764838
"PITG_00042",50.9095358401234,62.7606231703156
"PITG_00043",58.4107822938976,73.7980421014479
"PITG_00044",62.0384537557517,69.9002155909804
"PITG_00045",65.8168001619961,81.2074431043584
"PITG_00046",55.8263431098859,71.1462364403192
"PITG_00047",57.999650587253,73.4852647449253
"PITG_00048",52.5815764100822,72.8167554559438
"PITG_00049",57.6182805886257,72.6539938596575
"PITG_00050",59.6090368367522,73.6463494755765
"PITG_00051",54.4163857149035,63.8896055217781
"PITG_00052",65.6749607153233,77.0501113812515
"PITG_00053",55.4302569728468,76.7428501823758
"PITG_00054",42.085606943636,62.4727304574494
"PITG_00055",61.1423744968812,78.5802344291557
"PITG_00056",58.6599846616019,68.0407418843573
"PITG_00058",54.7824382811408,71.2839760280656
