"FL2009P4_cov.sum","FP.GCC_cov.sum","H1306_1_cov.sum","H1306_2_cov.sum","H1306_3_cov.sum","ND822Pi_cov.sum","US0400009_cov.sum","US100006_cov.sum"
"PITG_00002",12.7258122504371,40.5054876774522,16.213771669656,42.6325820897088,24.466073595864,15.3727878766688,10.729125146152,17.4386723971359
"PITG_00003",8.65424232622443,10.8510015207449,7.08076118940581,18.7284227029904,6.00049067983043,5.99387103677872,3.52611527961476,7.17062367827749
"PITG_00004",10.5869346074748,21.2468289416779,11.1406565789132,26.9380342688156,10.6063043591766,11.1932809221669,9.17526553467391,9.21439666237221
"PITG_00005",13.1533164968042,21.0127792584993,13.2473458369403,28.2093916862972,9.65547064368103,12.1058684591272,8.15239139436647,11.4222630441443
"PITG_00006",16.2872109903048,58.2051197823126,32.8957962920493,86.0926077498657,34.6804172366221,31.2226055085017,17.7327507089012,22.2726867883433
"PITG_00009",15.6168436555084,58.226252615776,21.1363766772045,59.1024819829211,28.7077861363145,23.6186503402038,26.8211848062853,23.7127279736234
"PITG_00010",40.9441643482972,58.3659922494578,32.7720729832851,78.5409705814611,23.7304500281702,28.6831442930094,45.6695735467217,27.0943084390829
"PITG_00011",9.61439947625673,38.8055705001232,17.5597445077081,39.2394751245786,14.3386735632478,13.2719624377265,11.1507736677306,18.2657875871829
"PITG_00012",16.4337810163653,34.1462447845254,19.5840627477642,49.8391765739324,21.9327241256544,23.43421360299,21.5308999657273,21.8927105692846
"PITG_00013",17.6154682031586,40.776912413757,21.1312010389118,57.3550223995914,23.446866156486,23.3331272404789,25.0803496686527,30.648408296786
"PITG_00014",16.0300327112298,47.138617196433,24.6418440314995,62.8509568493547,24.3644025021435,23.9375380109132,24.2410636460034,25.2600263358319
"PITG_00015",15.1532352622969,44.7646924996914,21.5448534554185,56.0250559001516,23.2755912757334,25.4408736251549,31.8871206040835,23.0862444282682
"PITG_00016",15.4000336822745,46.4993652976845,18.9003847741762,54.1123940843448,22.9415253331801,22.5103932719228,25.9261690470696,20.4556257567651
"PITG_00019",18.6554119500063,70.940443633837,28.4646982856146,63.9576215113374,33.0828751439684,28.7144244622998,16.306325871657,26.1151297631344
"PITG_00020",15.6797290667865,41.6085294831763,20.1806278077041,57.2237832234172,26.2018305844124,22.892729468473,20.2469285570853,22.1982939461524
"PITG_00021",16.9962169103852,44.8973487871175,21.7085675198524,57.581955686425,28.8519653902568,25.7730655563016,23.2844501026773,24.1146467386483
"PITG_00022",17.7545889985826,48.0997948445268,25.2526536519394,62.7957992556974,29.6179599226654,22.1539428335225,24.332031425699,23.6753669948669
"PITG_00023",15.0306742614129,39.2379734121251,20.1893298738994,52.5160494703514,22.8604219584126,22.5973559621208,18.9812323434482,23.9136129119936
"PITG_00024",17.9245119230098,44.0833044109854,22.8186393052178,61.386590159973,28.5413950482132,22.5635538245287,24.0749379505033,21.7096820081512
"PITG_00025",15.3072544320462,44.5106686191727,24.4213890163296,66.2066403727716,30.3861254249781,23.6450041054237,24.8277334869906,23.3091570243313
"PITG_00026",17.8147158003786,49.7713514098224,23.5917054731829,62.4247577154586,30.1299287047778,23.9558335833331,26.6081198912922,25.4643960675764
"PITG_00027",16.9468575462457,39.7073556643481,22.5667746005701,50.9334378294746,21.7418807988028,20.7298449474664,22.3920677242353,21.0216054495708
"PITG_00028",17.7269599226414,38.2060163629908,24.1127213544399,56.9483253391082,27.3198633154313,21.2916122426265,22.731777064532,23.9193739379194
"PITG_00029",17.0970493286568,36.7779619285563,23.3509737057755,55.7090228891891,22.2615737344819,21.842549182559,20.82657136485,23.6993213415256
"PITG_00030",17.8231874130347,46.4047797551051,22.2407290346359,64.0454849161907,29.9609506276287,25.9055735764038,24.5989209465994,24.4030480394729
"PITG_00031",15.3270784433402,41.7953934996738,21.7617171411156,63.4441467293125,23.6325518478671,24.6492070407457,21.1929699800675,26.2122991543291
"PITG_00032",13.6786255253277,44.799523969139,21.5692087474812,56.8131741672575,26.7056172841811,23.4273293001111,21.2223438453106,22.8062296290401
"PITG_00033",14.2695388938541,44.3589448118555,18.771029236987,52.9300488557126,21.1205937171151,21.9334116622942,17.8745688449652,20.2927763777003
"PITG_00034",14.7124703756562,42.2372475279042,21.8631042351722,60.1614769574294,30.0914055757734,22.128567310534,20.0197124699066,21.8356883438358
"PITG_00035",14.2450355036888,41.9647335181316,20.4793524583301,63.8076378201245,30.372735748857,21.5998836366871,20.5288496610879,21.4013648130463
"PITG_00036",16.2532739943395,43.5479961489433,22.3556469273582,61.9962929552488,32.0573526884132,24.2849744153526,20.8215098135509,21.2806368276198
"PITG_00037",16.7300127725561,45.9153134338774,23.5096504124117,57.8784033621776,25.9922925440838,22.8240659680231,22.5118835602422,24.6358242875513
"PITG_00038",16.4452596281786,43.3600778900622,22.3320603476665,62.9610352642095,27.5278628469676,22.4075662137445,19.8947241487161,23.7909786821024
"PITG_00039",17.042169521105,41.5772423307173,21.9173261613224,64.4357103768045,28.0491454988195,22.2791972020973,20.7117067181649,22.6012128645574
"PITG_00040",12.2998358771556,46.2727193000396,14.9537427538576,39.0157975034334,17.6352486253533,15.280191662659,16.6273264374941,17.45958111044
"PITG_00041",0.530147852222504,0.649120402850366,0.46719222888536,1.41578337436097,0.593874286735469,0.402057835743035,0.401948601963561,0.408575717918479
"PITG_00042",13.8672942988027,30.4253007292876,19.5095780732788,42.2438379868427,16.5314950863717,19.3460713783798,16.3784872672888,18.1930825517728
"PITG_00043",16.0570599760952,40.8770511418501,22.4436587724431,59.6378859419326,28.8130507282866,23.2805588628203,21.9559149341495,22.0848173593757
"PITG_00044",17.682380488746,46.298598025042,26.064707253761,59.2170838716486,22.666547214883,24.8353804391312,22.8506835166023,24.2856032175829
"PITG_00045",15.7745950242296,44.9845175430622,21.9547301003389,62.3527651339358,29.2538880453909,22.5960587949293,21.3806162523533,20.8868906650447
"PITG_00046",16.3777462478105,42.5180964459583,22.663439868315,60.9371532078253,30.5800392385825,22.7545638945233,21.5371720740564,23.8098041307371
"PITG_00047",15.8734363907113,43.6123102222527,22.4100041188748,61.3961612424216,30.312815965005,23.7782057464287,23.3324447071919,22.1932950102879
"PITG_00048",18.1486903925615,42.2913843266282,24.6274494427404,58.625365957954,25.566275911873,21.1444382582484,21.2370942252489,25.3244750215182
"PITG_00049",17.3437671127585,41.2281895400381,23.2709870739586,60.1902005986834,27.4653400868663,23.4377704474661,20.3982242024462,20.8415014210967
"PITG_00050",16.3773411008252,45.6474391796863,26.1486172660184,62.750491650831,27.2825037266914,24.0400136752934,20.4152038294007,25.6162972209975
"PITG_00051",15.9675668301868,44.6792327324859,22.5610460897098,54.6316296070449,24.4639909425676,20.843702308569,19.7211641861079,22.6008222347722
"PITG_00052",16.0127474114979,40.6274678960776,21.0289522741913,62.7295746674571,28.5028603822624,22.1897320632824,22.4185437163009,23.9423000924813
"PITG_00053",16.5090715074819,40.0802208942318,25.6142502661416,60.8821097967309,26.5732391075223,22.2298975744484,20.8596495211322,23.7522078853154
"PITG_00054",14.6866004760517,34.2806987654502,21.2264604610529,47.8073905791186,20.096085686389,19.210370445364,18.6419329168817,21.5444126221348
"PITG_00055",16.1448351148723,40.2018741430342,21.5055217735658,61.5586850713061,24.0125447015149,22.8858668751936,21.6117014904831,24.6503537778079
"PITG_00056",14.283337421985,39.4470592909694,23.2284086240259,60.2155648656294,24.3542299097758,23.7455331379331,21.8331837227672,22.7721632825179
"PITG_00058",16.3523054507817,39.2875232886908,16.9648722696004,55.4511230207156,18.9287983261629,24.8477654737573,20.902752395869,23.350616600661
"PITG_00059",15.3567622619196,39.3492169367657,22.9816742938448,57.7803610092338,21.3318279186451,22.5050076025275,22.9866032567774,24.5193520632846
"PITG_00060",17.3399774487632,45.1075749270555,20.7727003867269,58.4963353671368,23.0991869339432,24.9616227797946,25.9513145864869,22.4140476893722
"PITG_00061",15.3267809014506,43.2268920654271,25.4014252734172,48.5863529951573,16.9608223954178,20.7332737331904,17.4369770538966,18.1305336365937
"PITG_00062",16.6123863273895,46.0499143289176,25.4253919892323,57.5467695793321,25.9771652657086,28.3526134977794,22.3897108966241,23.4536554174312
"PITG_00063",15.957077583915,44.5175565617812,24.2648566689618,62.0536188140391,31.2109085295028,25.5390057976639,21.7961969791216,22.917532895991
"PITG_00064",15.4084575428909,35.2835757882807,20.3905047140299,53.3111183896056,24.1192009163906,21.4721665174054,20.9722141310501,19.9205746549265
"PITG_00065",15.5392788921176,52.5536553805518,22.2276424542118,64.2366111430999,31.1682749555425,24.1423585909252,25.0962952301337,26.268095438463
"PITG_00066",16.1186874583547,41.8752213753876,21.5376330482837,58.7933770897307,25.7609303527255,22.2720913534971,20.8865341730133,22.432349956683
"PITG_00067",15.0227605559069,43.2174998713362,21.2790553314163,58.962439883827,25.9759968747656,21.3210387671378,19.8575938550837,22.4940384654455
"PITG_00068",16.6273309097467,41.0893012885599,22.5244653142317,53.0642992208479,23.1703448891018,20.0631566478041,21.0821161105379,20.9502541136892
"PITG_00069",14.5978426016389,39.3633144339023,22.8118978606473,57.5962261691503,22.0079436763435,22.650466054795,20.6874860076093,21.3022897741412
"PITG_00070",16.7509987191998,39.9298219283407,23.3159421898515,61.416111997344,26.8232368375344,23.0810056714343,20.5713510041728,24.3531160460338
"PITG_00071",13.4154964607558,46.9836768371303,23.5122225637644,55.0308178392849,29.6095862060339,22.985486170409,18.2375128000846,24.4648595647702
"PITG_00072",15.0755109234257,43.0848335929568,20.297421377764,58.8061894136192,31.5551372595524,21.3706226213575,22.2705719124799,21.7009772752363
"PITG_00073",18.5793092531476,47.4346568653086,21.1002254853482,62.4909247537033,24.1901260660738,24.7535989976013,21.1163192869043,22.1924655309302
"PITG_00074",16.9560689783044,39.2001508240448,23.5942632363022,57.4260374413079,23.9360955786878,27.5285017573382,17.9927777118591,23.9431098528474
"PITG_00075",16.3680247382491,37.5450358261376,22.7842870416699,58.537667589621,28.9122958540375,22.7545638945233,22.4036358943324,22.7520701747441
"PITG_00076",18.4525457005011,49.5543019061585,23.1693062463012,61.2364645486271,29.2635648580186,23.8300393892976,23.8962604273074,27.2851131520445
"PITG_00077",15.6747458839295,46.5550134888485,22.8519412941464,60.5612147223889,26.3931595096468,23.725062379935,21.5162219542113,22.9454818644269
"PITG_00078",15.1390618480801,47.3191961099303,23.0415779869954,64.6747897107045,33.368743592355,23.0182699437498,22.1503644647103,22.4760933047746
"PITG_00079",17.1360874848117,45.4704405682347,23.4730434314585,58.5637543543707,25.5934152222379,23.8361775479423,22.7910977172979,24.6629705432026
"PITG_00080",15.3794709180283,42.1333439336201,21.2530065904201,52.1773045462377,29.4653748503745,23.243662431554,21.0827831019235,22.7779202340292
"PITG_00081",15.1441474440159,41.3487700397148,23.6061597965666,62.4381037656473,27.681089010474,22.6920486130823,23.7461406237953,22.4522089522502
"PITG_00082",17.109079170846,41.3250538015593,23.7896524767612,60.8782557953494,27.2385814587406,25.2518528451687,25.9306264115965,26.8892531845575
"PITG_00083",14.4722113984076,34.8446055566279,22.6681734487817,55.2034385304766,25.4337296235205,21.2568655984639,18.4555279122385,19.8702596964176
"PITG_00084",12.8443088139329,36.302601544058,20.6753177600431,47.5720564408892,20.5719857842689,20.7951495498945,17.135287121073,19.9831509271582
"PITG_00088",8.15611007956494,33.5055450751097,15.5743352053919,39.9267567828224,18.3207411499959,16.3945828299532,12.9603189356915,16.6397074048593
"PITG_00089",6.22867350324522,31.9336007189346,13.8169077990863,34.3782274872738,14.6654048021726,14.4007503785019,12.7491246356938,15.1080712391395
"PITG_00090",6.908138960905,31.2116104507255,11.3371854153542,30.5081414312387,17.3933932238389,13.6199435336951,9.8520730923015,11.758323835447
"PITG_00093",6.90385152128766,16.8649486183634,5.82598835182568,13.2370061886518,5.11219712675228,10.5383997764819,6.94627187109841,12.6488445803705
"PITG_00094",10.9045689732258,15.0279968890175,5.73445318980338,15.4999158563842,8.3024986907451,14.4458197613161,11.8241002495717,13.1885791283649
"PITG_00095",14.6653075662186,38.9086152080323,14.1029986213899,31.4548326585315,17.2610831190458,21.8009264882311,26.0806149192635,16.0937624376843
"PITG_00096",13.6611244629737,35.8848967688889,15.9003061083832,46.4612114730699,19.6865455486774,27.2141378964511,22.3442822982685,22.8776170695099
"PITG_00097",21.2079960934485,34.7474716478573,16.0835430076279,43.9878681418065,16.9812578094114,33.2682837597861,32.8998624481566,27.5436880771133
"PITG_00098",15.7003028801352,27.8360888537767,11.061765107447,32.1714171737131,12.9897189513612,22.6684525620784,18.6161370886756,22.3821942991555
"PITG_00099",14.201172514625,30.2408074431345,15.0307572814526,32.5739732589633,8.9969424881007,23.3769940996432,26.3553886083837,20.1375448084513
"PITG_00100",7.56307228024271,20.9045694723843,5.53198758001452,16.2430135650385,8.30593739836319,8.58292186361578,9.18941872281499,9.88266306069975
"PITG_00101",19.5079627760499,31.9519620239211,13.4710499577877,35.3511301848369,17.2041373858217,31.7051003632969,22.3120283209293,29.5477618316856
