"BL2009P4_cov.sum","IN2009T1_cov.sum","Pi1845A_cov.sum","Pi1845B_cov.sum","Pi1876_cov.sum","Pi1882_cov.sum","Pi1889_cov.sum","RS2009P1_cov.sum"
"PITG_00002",16.1984199940067,21.3063418335369,6.58659598489002,0.48775722515911,0.674957873082929,0.623436093140373,16.029893910899,18.9227745767973
"PITG_00003",13.6291913644921,7.9749430936627,3.92200776080964,0.0987083732931879,1.52668891655148,0.4688051035441,11.4418737856479,8.83169822840182
"PITG_00004",17.0663628715885,9.89955989038387,5.03598166272189,0.436270858960516,1.60497381969833,0.445712004487361,11.7228298504119,17.2775191989217
"PITG_00005",17.9544522377577,13.2241830629739,3.80485581005316,0.307327922477231,0.701700465316548,0.368885707731059,10.7660812731652,19.948978487168
"PITG_00006",26.6621525286007,22.6224637226247,9.11176516781411,0.807439517831084,2.16551716614696,0.688154610076637,24.1152495053872,38.0112019162789
"PITG_00009",22.0677178522837,29.0774195667862,9.48902164440805,1.22656688389522,2.03381262514114,0.657332193446601,19.3109462058002,25.9847479627259
"PITG_00010",56.7952070371693,32.9624994225848,14.0644497150739,1.9064803208495,2.36306958614827,1.0437487719502,28.3258494819454,42.8567894471562
"PITG_00011",20.8565463632896,26.1823418226564,6.228039465019,0.52783692147273,1.10359228693386,1.16183369270924,16.0294915847425,31.422740145321
"PITG_00012",22.5048118803431,19.2329444993156,5.94101837795551,0.775629851533128,1.34165416994477,1.24331055498801,15.0705845871789,29.6670933868637
"PITG_00013",23.8444309334377,26.2599614362901,5.14620681615144,0.903364168076929,1.56265617083272,0.783051412826087,18.5192339941004,24.4721473882636
"PITG_00014",21.3338157832284,26.2633394277689,5.59446317308526,0.962593935447683,1.61311625987315,0.540348185565842,19.4432741329924,26.8281698534906
"PITG_00015",25.0544763787565,23.6568401257266,5.66368547998476,1.14189628213974,2.19753767411475,0.958915705464602,16.0623261889424,34.9567253320119
"PITG_00016",21.6436493279581,26.7837443584523,5.23867368030923,1.16145456234837,1.99484951923148,1.24089892942121,16.0445395798971,36.5077722389531
"PITG_00019",33.0831470866397,32.2377838672828,12.9206034450671,2.23224712750387,2.27606758528665,0.898140305372612,23.0846623323137,37.6549600511766
"PITG_00020",23.9884410929114,25.7969490362001,6.24117075207222,0.792700913372562,1.83675485015289,0.728858296829615,18.652601645018,31.6613845085366
"PITG_00021",24.5231057329486,28.6486604797688,5.80214251991972,0.693380572097925,1.35458926903741,0.623782341072711,17.4795745917219,31.599792487822
"PITG_00022",23.198919288548,26.7189114263214,6.28924995881557,1.0641588465379,1.19616551742978,0.574602315612584,17.9803386131668,31.9160625279269
"PITG_00023",21.5480565183908,24.268967984784,6.32400847976096,1.19229412422146,1.95504284987916,0.552350175044059,18.1168406273275,29.7567981089898
"PITG_00024",19.6858498665276,24.9250834405856,6.23471751455767,0.791785397874702,1.45214955149088,0.797254654802094,20.0405955735249,34.5440907760101
"PITG_00025",21.7899296511034,24.4847832504663,5.65916727218784,0.842508453731128,1.50654802425738,0.544411840446855,18.1032543619046,31.2741267489714
"PITG_00026",26.8182080092772,24.3256632281294,6.27533873310274,0.862414190862025,1.30764013080454,0.538190975606111,20.5763450576908,30.6539268172381
"PITG_00027",23.1971891022276,27.2586505853497,5.20368617982841,0.81115253074418,1.80752396043848,0.320478129482619,19.2906477878429,31.396061798443
"PITG_00028",24.6869188205127,26.0856237107799,5.08684097541479,0.695659194473313,1.30120405305152,0.795167092000939,15.0395357664293,33.3941511252899
"PITG_00029",25.4280157702383,25.3390807210907,5.21952499192243,0.606790132513281,1.13188287344415,0.538612500205081,16.1869856924464,33.0578443421154
"PITG_00030",24.9320168093633,22.1757035803224,5.63136060798782,1.38343033621824,0.874448609550087,0.955417136129099,15.2798574844832,29.421113533501
"PITG_00031",22.118789769677,25.5864170570852,5.36129888740231,0.898042853643326,1.24600112322212,0.780320573793231,20.5968059137933,27.1977215146938
"PITG_00032",24.0199767002515,24.7162079889214,6.30823918519419,1.17624943399043,2.08279112709245,0.866327447628269,18.8028232336971,36.3415593428916
"PITG_00033",18.9503524456766,21.4774405243851,6.49452113760679,0.928259026181178,1.41294422786245,0.532141254680986,16.7292809842769,27.8610229050479
"PITG_00034",22.6348434152232,22.3872976445441,6.32016077398089,0.893483236030291,1.39895349299572,0.698958219415823,17.6443594646272,27.7692569956449
"PITG_00035",23.7907161926273,26.8976486009125,6.61214659558721,0.449098551903893,1.45555958055861,0.386648806597554,18.9925411837798,33.2823195015432
"PITG_00036",22.4180129895782,25.1296579248276,6.48846799856133,1.07870959826351,1.93917565095888,0.592080740519601,18.0236188266936,29.9441932676611
"PITG_00037",24.8067319474861,23.8508850470919,7.18834984170893,0.844948503815119,1.49053764292326,0.716514751767308,17.3266265874015,36.7970130272425
"PITG_00038",23.911185126642,24.2553455849945,6.10061394022287,0.960418488337936,1.36011959062618,0.439812526050116,17.9221158812998,30.4518556827551
"PITG_00039",23.4454323449936,23.1753358307222,5.88325823610105,0.683503881807284,1.09575893625658,0.567603841587528,18.9332987118667,30.2781257597666
"PITG_00040",22.3234035714991,26.8034468004721,14.6120410544664,1.67919634892577,2.62797386367103,1.11493447853456,23.3365219869509,21.5006111766964
"PITG_00041",0.083035409799332,0.0391283671867461,0.926297241042747,0.218907196026483,0.253809606913599,0.0740744131466174,1.57825066100392,0.11967590255923
"PITG_00042",30.5449076517424,29.9161054000028,4.76503342155665,1.00936535236892,1.16043270739247,0.36509734625415,14.0319701335926,25.7217556809989
"PITG_00043",20.6501061028006,25.4646142679177,6.28216107276003,0.802911370847379,1.58485792377858,0.664294487357344,19.7842226627976,30.1422821675143
"PITG_00044",26.2581958297847,21.5667687287962,7.33125511647516,1.3775713830282,1.76199059502187,0.806308233681707,12.7409298206183,31.6045316557261
"PITG_00045",21.7258840411348,22.6915840876283,6.289971454546,0.6691448156364,1.65612141915106,0.674673287152177,20.2568653135842,25.5581275988071
"PITG_00046",19.9975008664032,25.5989731327858,4.88234391907057,0.6784747079846,0.964353753605939,0.630107401045893,17.0267517528572,29.996751137102
"PITG_00047",22.6596758743868,22.5673727436192,5.25985866909616,1.1375693561523,1.67705387857192,0.746714163092676,17.2930895467717,29.5758504180037
"PITG_00048",24.9460788348109,22.0611357010099,6.00810175149328,0.551620211227142,1.52767729874655,0.806357924430807,17.8069772685561,32.3283730483014
"PITG_00049",22.3001422138127,22.811202965133,5.03573661096266,0.778781777175474,1.46888194380483,0.822586693762518,17.0533981276527,33.0118197492819
"PITG_00050",25.2372778192879,22.8148220362509,5.67131849756858,0.703791963112863,1.79080164950909,0.990783338847421,15.7999936499128,30.6192749641715
"PITG_00051",23.7394694058272,28.9622068374562,5.33777901456764,0.96141700461551,2.06275803739835,0.650684924525835,16.3226165933242,33.1185493400643
"PITG_00052",21.8447290576129,26.5624924656834,6.58048837590503,0.752837509128351,1.40197566209761,0.800966836831159,16.9809115956487,29.7622920523216
"PITG_00053",23.8397591565256,26.8128865018997,5.55266994608032,0.80294588302333,1.61496831010651,0.886390885018413,20.7552032205227,33.9715038576739
"PITG_00054",21.3573243655214,24.0887449990876,6.17050026833302,1.16058052511017,1.05795649068092,0.595883769965525,14.8412826728235,31.5247046152311
"PITG_00055",21.3543659519608,26.0377834769943,6.39524440147831,1.05486163232681,1.43331054429486,0.626697119285051,15.1642484507006,27.8561967100869
"PITG_00056",22.1337495687586,24.1496739990273,4.42270591761222,0.71718879580409,1.57843731110245,0.702640418480784,21.707064557253,30.4054032200525
"PITG_00058",28.4323561884894,29.8904888249629,5.61193671728775,0.604059012130761,0.733500171592226,0.74823710862697,20.9692358630331,36.3943312987506
"PITG_00059",22.7063230010906,24.6877806326649,6.79693438640823,0.861097323447893,2.03890720401094,0.577726950658496,18.572850500569,27.0324260613692
"PITG_00060",24.6899410308881,26.623275132431,5.81459904441745,1.31753446046211,2.23539665179757,0.278594758277358,21.342031958872,32.6118220409088
"PITG_00061",19.9209633087214,22.4411979497925,8.04733824744145,1.68860041617051,0.865782011594551,0.896529410602438,12.8627226636813,32.6324866004227
"PITG_00062",39.017300352469,39.9414198192863,6.58235272383259,1.66525502670567,1.34597892224492,0.666081927798074,19.3369935145569,38.2065110085121
"PITG_00063",25.3422375748472,26.2418834789227,6.63754406739582,1.10647640952116,1.16962360259662,0.651785119859818,16.5094431132049,29.3904411428538
"PITG_00064",22.9788580744338,25.5509414097327,5.7422622518184,1.26493300406614,1.23694788578303,0.722855182539188,17.8448524036994,26.8581653731261
"PITG_00065",24.9630945329432,23.9456264402508,6.71127642398185,0.713791916962112,1.346077356466,0.78419053297249,18.6779688983011,31.9123765360055
"PITG_00066",22.6898681344009,25.0849348656282,6.14731506208264,0.926834312252608,1.27676599428651,0.484671891194065,18.5509350461039,30.7853314863469
"PITG_00067",25.0275000952166,24.5499565322293,5.69364248019749,0.862349115406019,1.40268755472299,0.481055917796631,18.4858659256771,30.1635229351226
"PITG_00068",25.4636494134295,26.0141802112582,4.7618662320743,1.0275441004939,0.688711442442351,0.608755451012797,18.5493584249822,26.3957586724065
"PITG_00069",26.6257943646027,26.8496206504726,6.39041531640714,0.780349467077682,1.65948408424646,0.762769573994599,15.1803425156241,28.5764978484228
"PITG_00070",24.8211316755151,30.7049209157861,5.61097189654681,0.835652773666916,1.61657233920135,0.766882863027975,20.733596591842,28.522043242096
"PITG_00071",22.744021835647,25.4214477705379,6.03326608972612,1.22421656108584,1.47261885801354,0.688491017560228,17.7342258662355,29.2107268491773
"PITG_00072",23.0498063372049,23.4740226840022,5.83348443056092,0.889999674628742,1.32848538191422,0.638735609496298,17.4696865576048,30.3368326121345
"PITG_00073",22.6302717221187,25.4536898901097,6.3598185896722,0.696990890208864,1.06606780929003,0.594873392825906,20.6422133748265,31.0030536689537
"PITG_00074",24.3395106575338,27.1547500433365,7.17656082715187,0.842962582600777,2.3682601945765,0.622417600188313,19.2989113002638,33.9397528149447
"PITG_00075",21.5214235610706,24.3411332874221,6.46739568506505,0.718936576216071,1.68164309871067,0.771529921543679,18.5883387915181,31.3340571271153
"PITG_00076",24.7301684521428,23.6448809498731,4.92244950471328,0.390411802150526,1.76802372364969,0.370980853892759,17.3352153420785,32.9509691296502
"PITG_00077",19.6656033107036,22.3444093265045,6.20741732751093,0.735980208175733,1.28367610583449,0.601540212231018,17.9786103014088,29.6783826917946
"PITG_00078",20.6969570835928,25.3767232307799,7.2335666527177,1.09950893744129,1.53210558916014,0.675318805367494,18.7403065883841,29.7404115647313
"PITG_00079",29.2633118492828,27.6677927657541,5.39304663384325,0.695295239407389,1.68518584638323,0.790400833792337,19.4825907772596,31.9848235203338
"PITG_00080",21.8803524241616,25.4461468934389,6.4712851476511,1.08486426331217,0.995724306547953,0.546595086854829,20.6987634958221,31.3338339399642
"PITG_00081",23.2766546939246,25.0080920327925,6.10250693942257,0.824293640687792,1.9254493780568,0.562708371179821,18.9326607651948,29.1565136707968
"PITG_00082",23.7620998708797,25.955940384901,5.08708852579967,1.24383496141415,1.99677367517626,0.883581230145284,18.6497146811646,29.7615900523213
"PITG_00083",22.7809078336706,20.8111335537012,5.62758010163173,1.36532161258562,1.98177708170344,0.491413845522905,18.4158301496829,31.2703950462542
"PITG_00084",24.5457674046531,21.1607239855142,4.95815925668354,0.830205447285927,1.31684658729547,0.5698543815486,14.1781179094934,29.600535532473
"PITG_00088",13.1359174629349,18.4106124347452,4.72738056451611,0.666120329683804,0.550042969725056,0.553895942690073,14.082101998103,25.9122837146886
"PITG_00089",12.5205622724672,19.6371468160029,5.30967994089898,0.747361727584987,1.09572098962646,0.541172946707177,13.695575984554,19.7692303534984
"PITG_00090",10.083002158543,17.9779888348334,4.8592534290527,0.338758025655653,0.960282162527958,0.302028140896052,10.6343750096455,18.2591409736483
"PITG_00093",5.58530177731001,10.2263203476144,6.66208529431745,0.967969096709945,1.40357227122645,0.320166436601618,11.2177246190843,6.29595015125289
"PITG_00094",12.3517347918005,10.2269417804104,8.44670275600066,1.23997140430527,1.55592428895057,0.837423033902924,20.0756913913211,12.1571557474918
"PITG_00095",18.8049402285814,16.9837449748474,9.17107926154808,0.881726396685471,2.15057473958126,0.739599228079792,21.2863044283497,23.1577816481258
"PITG_00096",19.9571834533132,19.2691495258071,12.9099237659261,1.30100616950782,1.56320345322323,1.28899796495615,24.5773613005647,15.5822663107016
"PITG_00097",31.4036196804583,26.453736158803,11.6509007394929,1.42437968803782,2.62372101892003,1.28527968825142,27.7256193336315,33.7115090553925
"PITG_00098",22.5353291393257,24.0738167246454,10.5377377751036,1.02493821152003,1.65643404027762,1.0452412770904,20.8679871715892,28.400184491701
"PITG_00099",17.6869652511452,31.6803369301747,11.3672532864227,1.12095336729242,1.80712088697561,1.03407970121525,20.6437799530467,25.6965998707944
"PITG_00100",10.4240259401128,11.6776497357859,7.30403446318444,0.726341373936367,1.47559300522975,0.346046920177656,10.1640752116737,14.8616229681105
"PITG_00101",27.7504710945294,33.6326180782556,11.9663215946156,1.4167579090884,1.86148894650323,1.15754477100829,28.3032212034619,36.0714955651094
"PITG_00102",36.0456945660027,32.535532456583,13.2400080475703,1.42092489651802,2.06817484318223,0.921847364286748,23.7639032642452,42.1167302460997
"PITG_00103",16.4975085071638,12.0384077257268,8.59936478161493,0.627032068017135,1.81993095335153,0.715668042101882,16.0845547488645,14.192243702
"PITG_00104",24.2604491529397,22.1010896760046,12.4924598980385,2.04444120750475,1.90535202250132,0.934233535059055,27.7224627423508,36.5374774122313
"PITG_00106",17.2755902241144,13.2162756610768,12.3737505659664,0.840528739971336,2.31507824706651,0.98816119693255,22.930617020576,17.5868386831486
"PITG_00107",9.05564491301367,10.4496426125801,10.6792621878197,1.09723784748367,0.970660865877255,0.5373011994389,15.962468063633,11.6126484927773
"PITG_00108",23.7774671700811,20.0775770450923,5.91264450072805,0.427613217335869,1.08232268148534,0.646092427737164,18.4802390368691,30.9225520007474
"PITG_00109",26.1460376353808,26.9031746952499,5.66976511795762,1.12085873226734,1.2598571565346,0.678780791208656,22.5098025249493,33.0366296511075
"PITG_00110",28.2386767484614,22.5621783507117,4.91053292189611,1.23186521880325,1.40154018915586,0.643538854779505,14.0003119144561,38.3257897886256
"PITG_00111",22.9505173085866,22.41180035652,5.37765034786188,0.891324665476366,0.978658506405632,0.476600219861303,13.9027076260612,32.6964162946775
"PITG_00112",17.0942587950445,19.7941446067125,5.74616005697236,0.77380896700563,0.542282266270028,0.939509578592319,12.043952863819,24.2123675902203
"PITG_00113",20.4598728873967,22.4948381147475,5.09974215535112,0.719138770934208,1.39536259222167,0.455071810133209,16.0883883338483,17.8988350351408
"PITG_00114",19.2831060330212,20.3526567918356,7.01974943517121,0.673108782699312,1.62231098100434,0.352748490000202,9.2541105620901,2.99739624638975
"PITG_00115",16.0897298451214,18.0410237899961,5.06148471751179,0.672578145707127,0.54415292762137,0.181143549195391,11.133732207782,18.0166175146858
"PITG_00116",24.4571648887911,22.2409080445864,5.708490381276,1.32481482356705,1.34263974980095,0.833978163665413,17.5514021887529,34.6034338813703
"PITG_00117",30.9715647023659,27.5080605056817,5.25018872638978,0.88984241106462,1.10338311436649,0.555748983036433,18.5933604149274,38.1446222683006
"PITG_00118",24.9438285262152,26.1587298374532,6.15354329344297,1.04267862948419,1.14731578376765,0.345303726560751,13.3852738068171,41.1396317512643
"PITG_00119",28.0806783320041,27.6540999816144,6.12128996014249,0.887443988278407,0.689249109017704,0.631858905227606,15.080772502597,31.0192715133652
"PITG_00121",17.1297155485901,23.706220327914,6.61385427435952,0.986531787019839,1.75230173021878,0.241468927280113,19.2219312381072,36.6375940270107
"PITG_00122",15.8677464424248,24.6679030183927,4.91968114948708,0.537485031235282,0.89337150568507,0.921867235510695,16.9434686501415,31.8355516474505
"PITG_00123",12.6853346045353,25.984542985819,5.62211909420456,0.962176384939928,1.85417833597257,0.728641271593501,15.2585594196534,29.12773268937
"PITG_00124",17.0511484061765,25.3431441035161,6.05203724123855,0.838554542461383,1.22033809557323,0.555084029542984,18.1132576980446,35.9952431046139
"PITG_00125",15.2007140610223,26.2952233627438,6.62156680091,0.963721409474441,1.46191286571856,0.903760509317203,19.2743128634055,36.7940739166894
"PITG_00126",31.4260225318869,24.9380382732552,16.8033252491092,2.85556473299189,2.7135526340445,3.18492787753901,33.7514570829671,45.2973267129782
"PITG_00127",33.1863442727798,28.241933424253,6.32256362235668,0.794768763998311,1.70444669954812,0.725315913076212,16.7567482491377,36.9827270168735
"PITG_00128",20.7648995983868,23.3263136734295,5.56214232683178,0.531004856055959,1.73967068900589,0.34696583969899,19.8572604261381,29.4020260239629
"PITG_00129",29.4925949266278,21.6177915477164,5.98709462192644,0.968988819296066,1.34804398932144,0.989318210878725,17.7779883889942,37.0347678793298
"PITG_00130",23.9309107966194,26.1482607572391,5.24906750044469,0.489073794409038,1.96646514200316,0.611921179497945,14.4712622212794,34.6709168957033
"PITG_00131",24.2813356209081,25.7919390035327,6.64911954258671,0.724101654867823,1.30037391231422,0.526322791841467,16.9893613589572,31.9906634754267
"PITG_00132",23.6991995161772,27.130633015283,5.39444888678473,0.945609189572691,2.06256778959761,0.468877714078185,24.8583468289482,33.6500402036037
"PITG_00133",26.7113287905899,23.9351097758157,5.98217969657316,0.778373509548898,1.34495682855896,0.635815002317166,18.1574449642473,34.8950977286445
"PITG_00134",26.3065468612029,24.3485447163793,5.80163182158185,0.842349402124243,1.96312630715433,0.604980076847045,16.6878782944632,35.9126817893157
"PITG_00135",34.2004969681676,26.6443410666824,6.30640839540776,0.873986845025582,1.22000377293981,0.739944548765085,20.0756675787,39.1456954192798
"PITG_00136",34.5102639645963,19.7837315940419,5.51837295057054,0.561355524732365,1.6167901248549,0.584120838533839,18.6132077927273,33.3732401142017
"PITG_00137",27.838195423383,19.862397892408,5.22524389520197,1.28948854263192,1.5179436602201,0.406608701256538,21.1769155815337,32.9417294925088
"PITG_00138",28.8585360739006,31.2828870372368,7.33956584184663,0.946888770606409,1.80185758083395,0.575178341846218,13.7292402214027,37.7761679785332
"PITG_00139",30.6601628481301,28.0837823176199,4.75805750389285,0.468285914896891,1.93658389423487,0.215644517955688,14.8675803302686,40.600540627355
"PITG_00140",24.2482141615652,22.6293299904516,6.09423439631584,0.948302020289169,1.35938659818117,0.618660714485848,19.184176396274,33.0123567059051
"PITG_00141",26.5481290801035,24.5616078436956,5.17061573442313,0.683795233896142,1.35209953837799,0.623448510164419,16.6013421048445,35.5267712091642
"PITG_00142",27.81547790229,23.0831473816473,5.28160564580147,0.597324740452545,1.83476334061327,0.819919612837122,17.9603546709205,35.3037742092053
"PITG_00143",26.9085594206754,26.1746598614042,6.51139097695003,1.47397209807442,1.16356533723644,0.850901987556179,19.7944906447291,39.8827993535319
"PITG_00144",28.7834168172673,24.4545703897503,6.5529392206182,0.476860215401159,0.981285122395406,0.496191365827702,19.0695458148709,38.3587981371301
"PITG_00145",26.0287956175252,24.1584222676412,5.51617410147953,0.397387562873464,1.27651430491044,1.11499479785483,19.5574575506348,36.3007930904683
"PITG_00146",22.258121324258,22.7681238762377,5.77359388664033,0.860206532180596,1.19764463170396,0.805039876683868,17.7278585049192,34.8713506835299
"PITG_00147",31.0769454931977,27.0033948678471,6.00102820053134,0.902323601195731,2.23330758874759,0.979472471547929,22.647278562989,34.8414327422865
"PITG_00148",23.1724139093716,24.6150279820788,6.00016181527109,0.966414355526599,1.51422904368779,0.666964050600079,19.5040674058941,36.8849081421136
"PITG_00149",24.315631262525,23.1299909113925,5.86671240068627,0.631572201809112,1.45951048370188,0.620861198231452,18.319818440195,34.1039241485346
"PITG_00150",31.0112977396843,22.7361154944097,6.09511078327421,0.762056619689278,1.67959491643276,0.513266137591193,17.7802948726285,32.7537546205144
"PITG_00151",26.1444131401957,24.3744838267362,6.60762762570706,1.24149022639452,1.10909871293154,0.810328420745606,15.152229445949,38.5533957442468
"PITG_00152",27.1093933698218,24.4027795328624,5.39570012023476,0.731515329351767,1.17726591591165,0.619720382408863,19.8638230799375,36.4567034281339
"PITG_00153",26.4483371383286,24.0015849029085,7.13194214781423,0.776040231898247,1.99078114586831,0.40681329971047,18.2505930458023,26.6959198505402
"PITG_00154",26.2107410201115,24.2122867507662,5.11370407829888,0.674821259119544,1.39077600636714,0.543427719378959,17.3207013674729,35.3495234532855
"PITG_00155",23.7487417532404,22.7921093327908,6.30312926736067,0.911186813106826,1.06143511548797,0.823890173664558,16.8436795869244,34.2273753928236
"PITG_00156",26.7113508757015,22.9017919848043,7.63918338723532,1.25639876117838,1.70708302216737,0.854920407241767,18.7137719543162,36.1214802404045
"PITG_00157",41.3852890934467,30.7661396507576,2.91065137105676,0.287088347363757,1.69437469199067,0.0921507618283881,13.8994628595834,44.3232951796394
"PITG_00158",29.3856371558087,23.9175913254032,5.54754566198374,1.01915977088595,1.64093652853258,0.819694377428256,16.9183235717624,38.6174816986518
"PITG_00159",25.7179250968853,24.1156048436268,5.75902361171266,0.803122355785424,1.02903690936013,0.682361209681223,16.3279429542934,35.0107283960587
"PITG_00160",27.0256255018613,24.1827896068019,6.11934770213361,0.733688635614657,1.43540338051675,0.690493306474716,18.6877540579864,34.7198350327285
"PITG_00162",27.3822672083999,24.8537553218089,10.1215617557747,1.22436216176294,2.31197473828514,0.545398185157065,23.066154731446,35.0668291236334
"PITG_00163",26.8255749161467,27.5065010562652,5.88022419377395,0.778318518380373,1.26140459959608,0.682863109116051,18.7818927705508,37.4027310142907
