"X90128_cov.sum","F18_cov.sum","PIC99114_cov.sum","PIC99167_cov.sum","PIC99189_cov.sum","t30.4_cov.sum"
"PITG_00002",5.00257905958618,1.17075520624549,2.10656986277103,0.522173228682381,3.72232874885369,5.76936935215405
"PITG_00003",4.6035686203905,0.653614945366932,4.52591485625694,1.01552166299798,2.57955450120758,5.60591324700789
"PITG_00004",4.73368554539704,1.43017908152455,4.21694288500528,0.468443203279107,3.49737353272605,4.53562490747776
"PITG_00005",4.48779527518717,1.62742059497311,4.07686570879275,0.66420422611895,3.91271679397743,6.05561754051057
"PITG_00006",3.66789671655802,2.52375700926963,12.134072107013,1.5374447271182,5.9656387699363,7.04255356645035
"PITG_00009",6.52816258992842,1.6331264453862,3.76235014087854,0.808631546536827,5.67997230121257,7.3499512925518
"PITG_00010",8.4283518595143,4.04401397256033,18.1809983936867,2.60596212619692,6.21798993053717,7.27820085254817
"PITG_00011",6.25426624912788,2.46458002041987,8.18514292124976,1.73124076002975,6.64649416526921,10.3323365887489
"PITG_00012",6.67490155843949,3.59396397408742,8.63255184501771,1.38672249613631,6.71486747776224,10.1719781011472
"PITG_00013",7.04732041737095,1.9540240957287,4.8262937587404,0.85610422731995,5.94020524438597,9.86103597152444
"PITG_00014",6.64343294563309,2.72415087420994,7.53352868004421,1.54697622837682,6.52152535770579,10.8757992227381
"PITG_00015",6.55815114950374,1.40856869537077,4.73604709013946,1.10940947723836,6.12875422962693,11.8475045079383
"PITG_00016",5.11706472181371,2.15742640412837,7.47681219847369,0.950182681961626,5.5424884157971,10.1163765922674
"PITG_00019",8.66485441961595,5.00635602248227,3.48722013318643,0.506795956442627,7.35151452842847,13.3875422378062
"PITG_00020",6.21375084673294,3.16122272804708,7.60569274630641,0.96191570576478,6.10944905375455,10.4367491454524
"PITG_00021",6.15512308916705,2.60494404819914,7.05867696703515,1.18205872866123,6.10507642776991,8.67462087766824
