"DDR7602_cov.sum","LBUS_cov.sum","NL07434_cov.sum","P10127_cov.sum","P10650_cov.sum","P11633_cov.sum","P12204_cov.sum","P13527_cov.sum","P13626_cov.sum","P1362_cov.sum","P6096_cov.sum","P7722_cov.sum"
"PITG_00002",7.09474213285665,9.10468049723853,81.4287334517605,14.0225918550117,7.99339883719036,6.75006129002352,6.85266829634956,17.8237209866733,28.1662428955749,3.32327629280051,7.63765723135203,8.82139480054745
"PITG_00003",4.00933277670162,4.43596981910051,21.102274065787,5.05264374072298,4.17762455576782,2.58759419878842,1.63751518532497,9.29581211838538,9.77554159724675,0.884021288824528,5.02323409019641,2.56875135688285
"PITG_00004",8.02257860280652,8.62546650896388,24.7014340643414,7.52381172143695,5.87958081646064,4.77188695003606,3.6907705057631,13.7006703692074,21.4646813244739,1.99015742836294,5.02317314178953,7.13670177960652
"PITG_00005",13.339956804241,12.783745879554,15.9038608176721,9.81993820695533,8.14823223575387,5.17821897274413,4.06888634244219,20.6905203982443,29.3454413185544,2.06747936933986,6.51602534417913,5.44641954559447
"PITG_00006",22.8357189677577,27.0091914099337,89.2893857634962,24.4301484031054,11.2054108711698,8.2172830516112,12.5770603666593,26.4511763892033,48.864664234766,5.00142674162818,17.8060863813373,24.9589116960798
"PITG_00009",17.2808518809473,16.5379360643186,56.5309658749129,16.4052860462445,10.4274974159822,8.2659533000554,10.1885597336267,23.9179197592115,39.5465241000848,3.00957262776989,8.06558439478562,8.21500262501817
"PITG_00010",44.5930893834362,53.7218288836097,71.6462476968295,26.5010984164346,19.0669734132183,21.4858666207608,15.4801632074393,41.0847565084341,72.9667667761187,7.82524584368416,21.7768121675924,151.155610132871
"PITG_00011",17.3669465182509,18.83111533035,55.5355940081726,18.5065809233961,13.947191466213,5.75387385732515,10.5245366592816,21.612688264914,33.9367254047983,3.42786345741421,10.8288563384774,16.373464173814
"PITG_00012",17.6251484945135,19.9127653514871,56.2001324453655,18.549078948335,11.8013197224335,6.82105001567734,13.1742806055427,23.0802873311335,33.8880122146978,4.94861567202016,11.2488801270345,14.9051134379997
"PITG_00013",34.1690586737818,30.2825797341168,56.5313549738173,19.4195079252937,13.2516971949104,7.75801861661901,13.0468055299301,24.6508664978035,53.5094804975492,5.25717278500744,14.6981457946934,12.2039066368046
"PITG_00014",21.2900972155196,18.8628928192563,66.129107515369,19.6070970035783,13.9790574421947,8.99187529657938,12.0572523502216,22.5002832321846,39.169788958276,3.58744789526257,11.5723609161857,16.2207258253679
"PITG_00015",20.3691935571294,16.9211013011556,60.7264477394543,19.332626022688,12.1890264520918,8.20022472053689,8.48947561939968,24.7356696056298,46.7183430112566,4.52550225727067,13.8478076791025,16.4762864703741
