"BL2009P4_1x.cov","BL2009P4_cov.sum","BL2009P4_cov.sd","IN2009T1_1x.cov","IN2009T1_cov.sum","IN2009T1_cov.sd","Pi1845A_1x.cov","Pi1845A_cov.sum","Pi1845A_cov.sd","Pi1845B_1x.cov","Pi1845B_cov.sum","Pi1845B_cov.sd","Pi1876_1x.cov","Pi1876_cov.sum","Pi1876_cov.sd","Pi1882_1x.cov","Pi1882_cov.sum","Pi1882_cov.sd","Pi1889_1x.cov","Pi1889_cov.sum","Pi1889_cov.sd","RS2009P1_1x.cov","RS2009P1_cov.sum","RS2009P1_cov.sd"
"PITG_00002",426,6995,4.49674035797083,426,9433,4.61411268844668,424,2458,3.84507489380469,158,177,0.631446046279533,219,326,0.826795118794101,171,293,0.888457388592684,426,6803,9.17215777889292,426,8515,6.54773266811254
"PITG_00003",297,4281,5.40334624988541,297,2382,4.36195111465242,297,1193,2.41260472739767,31,31,0.306265152765286,276,442,0.626575727743377,101,131,0.670867870794019,286,3549,4.69482263151224,243,2720,5.8273476563511
"PITG_00004",1913,33869,7.30242924555983,1893,19844,4.74245374822413,1779,9346,3.42262317063698,662,783,0.60589209535806,1371,3231,1.81319421500239,722,870,0.633690221256859,1897,22849,6.78306089999882,1890,34438,9.44024360649528
"PITG_00005",1641,29373,8.41129271097768,1643,22213,7.27495019746525,1407,5678,2.80547821693905,339,439,0.56327070961778,795,1259,0.97569562997453,506,650,0.66034767136515,1592,17785,7.06661310385294,1632,34193,8.80226809965676
"PITG_00006",830,22561,10.4657249136517,830,20596,9.81207169317322,815,5577,4.52490648841591,342,476,0.845777753910985,558,2174,2.51357990043695,415,694,1.04177846373002,830,19148,11.4777777103241,830,33974,13.818146042664
"PITG_00009",3347,76126,6.07589447905696,3347,106645,10.2496928034018,2895,24296,7.69087484738669,1612,3063,1.30724017243876,2419,8246,2.51013125922951,1669,2645,1.04626430693077,3311,62236,9.61022849061817,3336,96494,7.70895932569547
"PITG_00010",735,44282,8.94952035715155,735,25366,7.47581492925772,735,9150,8.98423056366592,538,1205,1.80653362440923,649,1839,1.69216294957756,504,817,1.01678803240113,735,21137,9.00884310610211,735,33237,5.7864228333637
"PITG_00011",591,10755,3.60880222475213,591,12119,4.80919480776318,591,5624,4.3533733837309,317,559,1.12917199564032,298,455,1.03063571932444,311,490,0.972276225575919,591,9799,7.78742274963506,591,15542,4.18463435019279
"PITG_00012",636,14295,4.93463514138649,636,11792,4.11181074101788,624,4343,3.7096000553554,363,593,1.11404262580884,352,769,1.34994144341843,409,700,1.06153932831308,636,9923,6.49267993856376,636,17716,7.12815111409357
"PITG_00013",408,8101,3.68357405001624,408,8724,4.00869844789226,408,2976,3.66627028388238,246,593,1.43757507747832,276,433,0.937176659726108,219,228,0.544321219872271,408,7717,7.37949838640389,408,8437,2.71628934886496
"PITG_00014",1342,27561,4.8948402355174,1342,33179,4.58773418301847,1311,8456,3.56680972966684,816,1485,1.16491152576069,872,1882,1.45750452500698,541,644,0.635136242804004,1342,26442,8.64555871432496,1342,34405,4.35455755507486
"PITG_00015",804,18400,4.3392088042745,804,16766,3.98919486941309,804,5582,3.10532587116586,542,1228,1.46116094085534,625,1382,1.4258215768937,483,647,0.781433080008614,804,13508,6.87045755779951,804,24493,5.90248211504535
"PITG_00016",708,14824,5.50957319569854,708,17965,6.32229750583784,702,4221,3.44526207250015,559,1043,1.36872012661431,492,1228,1.51189489095923,512,810,0.903634876340776,708,11633,9.85134262757411,708,24567,13.5463434990598
"PITG_00019",1131,36427,5.11739801223168,1131,38003,6.5498198493783,960,8567,8.03523417843618,553,1483,1.71109016424239,961,3399,1.91915545810002,612,1105,1.20081178251877,1131,21317,12.0097984559789,1131,38764,12.9295241117985
"PITG_00020",2785,61512,4.30537670205598,2785,65291,4.66282126775567,2785,21403,3.67603451297801,1879,3015,1.12140315590488,1812,4113,1.55326364253134,1177,1650,0.859873698395928,2785,54815,8.9060745888652,2785,78363,5.88620321226268
"PITG_00021",1623,39716,6.11210316277704,1623,42901,6.02637527019124,1612,10976,3.52371499012908,943,1403,0.887708462328749,814,1839,1.32863122568989,651,830,0.7177248291514,1623,30057,5.93497120889466,1623,49127,7.18752411877817
