"CJ01A1_1x.cov","CJ01A1_cov.sum","CJ01A1_cov.sd","INRA-310_1x.cov","INRA-310_cov.sum","INRA-310_cov.sd","P10297_1x.cov","P10297_cov.sum","P10297_cov.sd","P1569_1x.cov","P1569_cov.sum","P1569_cov.sd","P1976_1x.cov","P1976_cov.sum","P1976_cov.sd"
"PITG_00002",0,0,0,0,0,0,0,0,0,17,17,0.300886264855507,109,265,1.54596586056958
"PITG_00003",238,2327,6.34888946646133,230,5254,14.7423926092783,235,3088,8.98874430916821,226,5006,13.9513409038123,232,1582,4.00143416912437
"PITG_00004",1593,87347,44.7152835343817,1624,125122,61.0499378944157,1584,79259,34.6690378152204,1623,160880,84.0450512780002,1589,53712,28.1380533928725
"PITG_00005",763,6654,12.0482776849506,828,10838,16.3741583840967,700,7353,13.727584336888,778,10899,21.1562112674009,793,5146,6.66914654893759
"PITG_00006",19,148,3.94891155117766,38,246,3,19,133,3.53398137944216,19,114,3.02912689666471,19,57,1.51456344833235
"PITG_00009",432,7424,13.7748277849096,772,9298,13.6718859499642,400,6973,12.2682767476942,634,13259,24.9013486763827,432,5775,10.1842366145427
"PITG_00010",618,4864,5.90170226587398,627,5843,8.66368420810926,562,3614,5.16862776947259,582,6734,8.76338743536689,562,3129,5.53541360187941
"PITG_00011",550,30825,33.463297490564,550,29578,36.9575839026621,550,27391,34.8375918242707,550,48867,55.4332813450529,550,13306,17.2710650574525
"PITG_00012",602,47572,27.6937849719563,609,55448,32.8011299621984,586,40739,27.6482583116858,613,77479,47.0090985710244,604,30421,18.0211238050597
"PITG_00013",408,27223,26.7378622227761,408,28133,36.5278028536777,408,21656,24.427875595984,408,42911,46.5421698460122,408,16415,20.3674404074677
"PITG_00014",1227,101154,32.0418323804031,1235,124346,34.017424995896,1234,92231,27.5835993849988,1199,179869,54.8021985266543,1216,60212,19.7468261973045
"PITG_00015",548,18797,26.2994466719178,550,23176,28.4792908126695,591,19206,26.8834841726927,548,35797,48.7566625485083,547,14297,17.7814012114891
"PITG_00016",499,30488,42.6416180070117,493,24307,27.9338278541464,499,25327,35.7578909237657,513,52556,73.4861902279089,509,14459,18.4428730351051
"PITG_00019",32,113,1.7518313280947,43,133,1.9485090728764,28,28,0.447085874921743,81,220,2.2230898109689,18,18,0.381616388486088
"PITG_00020",2715,202796,31.3389668821983,2720,206313,31.9307153271687,2705,185370,27.7601807103157,2720,342995,51.0047810804319,2720,125266,20.6416617362872
"PITG_00021",1555,111989,31.6546362946841,1546,132416,39.7667610563069,1546,105116,30.2560412452396,1559,191128,50.4539681620781,1556,65384,18.93872885079
