"X00Ip5_allele1","X00M_410_allele1","CBS.678.85_allele1","Ipom_1.2_allele1","Ipom_2.4_allele1","P3001_allele1","PIC97136_allele1","PIC97146_allele1","PIC97335_allele1","PIC97442_allele1","PIC97750_allele1","PIC97785_allele1","PIC99114_allele1","PIC99167_allele1","Pipo5_allele1","Pmir5_allele1"
"PITG_00002",2,5,2,3,5,2,2,4,3,2,2,3,5,3,3,5
"PITG_00003",2,5,2,3,5,2,2,4,3,2,2,3,5,3,3,5
"PITG_00004",2,5,2,3,5,2,2,4,3,2,2,3,5,3,3,5
"PITG_00005",2,5,2,3,5,2,2,4,3,2,2,3,5,3,3,5
"PITG_00006",2,5,2,3,5,2,2,4,3,2,2,3,5,3,3,5
"PITG_00009",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00010",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00011",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00012",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00013",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00014",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00015",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00016",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00019",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00020",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00021",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00022",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00023",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00024",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00025",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00026",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00027",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00028",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00029",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00030",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00031",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00032",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00033",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00034",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00035",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00036",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00037",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00038",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00039",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00040",3,4,3,2,3,2,3,3,2,3,2,2,2,2,2,2
"PITG_00041",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00042",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00043",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00044",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00045",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00046",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00047",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00048",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00049",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00050",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00051",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00052",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00053",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00054",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00055",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00056",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00058",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00059",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00060",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00061",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00062",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00063",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00064",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00065",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00066",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00067",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00068",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00069",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00070",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00071",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00072",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00073",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00074",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00075",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00076",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00077",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00078",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00079",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00080",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00081",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00082",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00083",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00084",3,3,4,2,3,2,3,2,2,3,2,3,2,4,3,2
"PITG_00088",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00089",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00090",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00093",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00094",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00095",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00096",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00097",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00098",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00099",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00100",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00101",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00102",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00103",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00104",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00106",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00107",3,4,4,3,2,3,3,3,2,3,2,3,3,3,3,2
"PITG_00108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITG_00109",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00110",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00111",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00112",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00113",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00114",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00115",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00116",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00117",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00118",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00119",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00121",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00122",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00123",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00124",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00125",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00126",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00127",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00128",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00129",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00130",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00131",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00132",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00133",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00134",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00135",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00136",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00137",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00138",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00139",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00140",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00141",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
