"LOCUS"	"SYMBOL"	"SYNOYM"	"LENGTH"	"START"	"STOP"	"STRAND"	"NAME"	"CHROMOSOME"	"ANNOTATION"	"ANNOTATION NAME"		
"PITG_00002"			426	10097	10522	"-"	"conserved hypothetical protein"	1				
"PITG_00003"			297	38775	39071	"+"	"protein kinase"	1				
"PITG_00004"			1969	39526	41494	"+"	"protein kinase, putative"	1				
"PITG_00004"			1969	39526	41494	"+"	"protein kinase, putative"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00004"			1969	39526	41494	"+"	"protein kinase, putative"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00005"			1646	42014	43659	"+"	"protein kinase, putative"	1				
"PITG_00005"			1646	42014	43659	"+"	"protein kinase, putative"	1	"Pfam"	"PF00069.17"	"Pkinase"	"Protein kinase domain"
"PITG_00005"			1646	42014	43659	"+"	"protein kinase, putative"	1	"Pfam"	"PF07714.9"	"Pkinase_Tyr"	"Protein tyrosine kinase"
"PITG_00006"			830	95207	96036	"+"	"hypothetical protein"	1				
"PITG_00009"			3347	209494	212840	"+"	"hypothetical protein"	1				
"PITG_00010"			735	213666	214400	"+"	"hypothetical protein"	1				
"PITG_00011"			591	217133	217723	"+"	"conserved hypothetical protein"	1				
"PITG_00012"			636	218887	219522	"+"	"conserved hypothetical protein"	1				
"PITG_00013"			408	220302	220709	"+"	"conserved hypothetical protein"	1				
"PITG_00014"			1342	222049	223390	"-"	"26S proteasome non-ATPase regulatory subunit 13, putative"	1				
"PITG_00014"			1342	222049	223390	"-"	"26S proteasome non-ATPase regulatory subunit 13, putative"	1	"Pfam"	"PF01399.19"	"PCI"	"PCI domain"
"PITG_00015"			804	223819	224622	"-"	"DNA-binding protein, putative"	1				
"PITG_00015"			804	223819	224622	"-"	"DNA-binding protein, putative"	1	"Pfam"	"PF05225.8"	"HTH_psq"	"helix-turn-helix, Psq domain"
"PITG_00016"			708	227775	228482	"+"	"DNA-binding protein, putative"	1				
"PITG_00016"			708	227775	228482	"+"	"DNA-binding protein, putative"	1	"Pfam"	"PF05225.8"	"HTH_psq"	"helix-turn-helix, Psq domain"
"PITG_00019"			1131	253879	255009	"-"	"conserved hypothetical protein"	1				
"PITG_00020"			2785	255282	258066	"+"	"conserved hypothetical protein"	1				
"PITG_00020"			2785	255282	258066	"+"	"conserved hypothetical protein"	1	"Pfam"	"PF00169.21"	"PH"	"PH domain"
"PITG_00021"			1623	258927	260549	"+"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1				
"PITG_00021"			1623	258927	260549	"+"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1	"Pfam"	"PF01554.10"	"MatE"	"MatE"
"PITG_00021"			1623	258927	260549	"+"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1	"Pfam"	"TIGR00797"	"matE"	"MATE efflux family protein"
"PITG_00021"			1623	258927	260549	"+"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1	"Pfam"	"TIGR01131"	"ATP_synt_6_or_A"	"ATP synthase F0, A subunit"
"PITG_00022"			1633	260777	262409	"-"	"Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily"	1				
