"06_3928A_1x.cov","06_3928A_cov.sum","06_3928A_cov.sd","P17777_1x.cov","P17777_cov.sum","P17777_cov.sd"
"PITG_00002",426,15710,12.2844380351881,426,24544,12.1721827371956
"PITG_00003",281,5063,9.60808711790948,297,8224,8.16872365966962
"PITG_00004",1888,69788,20.3256210698994,1886,58051,10.9185830703564
"PITG_00005",1614,71883,20.0849933846002,1631,50299,11.8209231822447
"PITG_00006",830,59288,30.77094617523,830,58330,33.0724661274936
"PITG_00009",3344,159363,17.4306205565468,3344,208330,21.2642257687149
"PITG_00010",735,76307,22.9667136617635,735,68286,13.4427093197092
"PITG_00011",591,26576,17.9514594643395,591,29788,21.26906545198
"PITG_00012",636,35359,10.4654775085516,636,43125,14.4686036560052
"PITG_00013",408,15849,9.43479784965952,408,23947,13.532806932331
"PITG_00014",1342,81393,13.6908743600213,1342,101134,12.1700431287697
"PITG_00015",804,42162,14.1752127127779,804,55738,13.3153448446497
"PITG_00016",708,34458,10.141897150803,708,47688,9.71825918811842
"PITG_00019",1131,53286,25.765489137727,1131,70887,26.9930761309331
"PITG_00020",2785,147294,11.5602536764229,2785,188847,16.1191347835473
"PITG_00021",1623,100050,15.9783604158,1623,116633,12.0140269392425
"PITG_00022",1633,94990,16.3432346460697,1633,120381,14.8101312233234
"PITG_00023",1812,91242,12.300905598098,1812,111695,12.8982885341597
"PITG_00024",1959,114510,13.1231978920105,1957,140746,13.3499959561587
"PITG_00025",1831,128106,12.402973444195,1831,154666,11.5498488808787
"PITG_00026",1390,84421,17.8165001149789,1390,99168,9.79213856608064
"PITG_00027",651,37152,8.15747787200107,651,47677,9.74660255540543
"PITG_00028",1660,104808,13.9253301134568,1660,122706,13.6096706905982
"PITG_00029",1613,88439,12.8870727432136,1617,109894,13.6568542332555
"PITG_00030",1116,68506,13.810190524704,1116,92597,10.0226711121945
"PITG_00031",882,48376,18.9275349612328,882,62265,14.3239835231949
"PITG_00032",1718,101239,13.1194546225189,1718,122378,11.9688702332456
"PITG_00033",889,48843,18.579357381202,889,70342,14.228711797727
"PITG_00034",1971,113152,18.346471191322,1971,132158,15.7434995763636
"PITG_00035",1739,113499,14.9419705204804,1739,154131,14.8260039322006
"PITG_00036",2056,134881,12.6922382428596,2056,159628,14.1560585602023
"PITG_00037",1307,75758,17.8661056579663,1307,95631,9.46772419336193
"PITG_00038",2903,163282,14.7763057246682,2903,216829,16.4111274568126
"PITG_00039",2330,134323,12.8063243157168,2330,176965,9.21671070031213
